construct,part number,strategy,construct name,source,primer1,primer2,pcr (bp),pcr number
12,2,Gibson,T7 RNAP core on BAC ori only with AmpR,THSS301,EMP788,EMP791,7411,12.2
15,1,Gibson,Combined vio and lyc plasmid made by high GC polymerase,KT-587,EMP792,EMP793,6820,15.1
15,2,Gibson,Combined vio and lyc plasmid made by high GC polymerase,KT-537,EMP794,EMP795,6634,15.2
15,3,Gibson,Combined vio and lyc plasmid made by high GC polymerase,KT-537,EMP796,EMP797,2933,15.3
16,1,Gibson,P(tac)-T7 fragment controller,THSS303,EMP798,EMP799,1210,16.1
16,2,Gibson,P(tac)-T7 fragment controller,pEM103,EMP800,EMP801,6134,16.2
17,1,Gibson,P(tac)-T3 fragment controller,THSS304,EMP798,EMP799,1210,17.1
17,2,Gibson,P(tac)-T3 fragment controller,pEM103,EMP800,EMP801,6134,17.2
18,1,Gibson,P(tac)-K1F fragment controller,THSS305,EMP798,EMP799,1210,18.1
18,2,Gibson,P(tac)-K1F fragment controller,pEM103,EMP800,EMP801,6134,18.2
19,1,Gibson,P(T7)-LacZ based off Thomas' sfGFP output,pEM113,EMP802,EMP639,3143,19.1
19,2,Gibson,P(T7)-LacZ based off Thomas' sfGFP output,THSS309,EMP803,EMP804,301,19.2
19,3,Gibson,P(T7)-LacZ based off Thomas' sfGFP output,pEM113,EMP805,EMP806,809,19.3
19,4,Gibson,P(T7)-LacZ based off Thomas' sfGFP output,THSS309,EMP807,EMP808,2498,19.4
20,1,Gibson,P(T7)-vioABCDE from Cambridge iGEM team output,pEM113,EMP809,EMP775,3331,20.1
20,2,Gibson,P(T7)-vioABCDE from Cambridge iGEM team output,BBa_K274002,EMP810,EMP811,7385,20.2
21,1,Gibson,P(K1F)-vioABCDE from Cambridge iGEM team output,pEM114,EMP809,EMP777,3331,21.1
21,2,Gibson,P(K1F)-vioABCDE from Cambridge iGEM team output,BBa_K274002,EMP812,EMP811,7385,21.2
22,1,Gibson,P(T7)-vioABDE from Cambridge iGEM team output,pEM113,EMP809,EMP775,3331,22.1
22,2,Gibson,P(T7)-vioABDE from Cambridge iGEM team output,BBa_K274003,EMP810,EMP811,6072,22.2
23,1,Gibson,P(K1F)-vioABDE from Cambridge iGEM team output,pEM114,EMP809,EMP777,3331,23.1
23,2,Gibson,P(K1F)-vioABDE from Cambridge iGEM team output,BBa_K274003,EMP812,EMP811,6072,23.2
24,1,Gibson,P(T7)-crtEBI from Cambridge iGEM team output,pEM113,EMP813,EMP814,3331,24.1
24,2,Gibson,P(T7)-crtEBI from Cambridge iGEM team output,BBa_K274100,EMP815,EMP816,3425,24.2
25,1,Gibson,P(K1F)-crtEBI from Cambridge iGEM team output,pEM114,EMP813,EMP817,3331,25.1
25,2,Gibson,P(K1F)-crtEBI from Cambridge iGEM team output,BBa_K274100,EMP818,EMP816,3425,25.2
26,1,Gibson,P(T7)-vioABCE from Cambridge iGEM team output,pEM113,EMP809,EMP775,3331,26.1
26,2,Gibson,P(T7)-vioABCE from Cambridge iGEM team output,BBa_K274004,EMP810,EMP811,6240,26.2
27,1,Gibson,P(K1F)-vioABCE from Cambridge iGEM team output,pEM114,EMP809,EMP777,3331,27.1
27,2,Gibson,P(K1F)-vioABCE from Cambridge iGEM team output,BBa_K274004,EMP812,EMP811,6240,27.2
28,1,Gibson,R0011-crtEBI from Cambridge iGEM team output,pEM113,EMP819,EMP820,3215,28.1
28,2,Gibson,R0011-crtEBI from Cambridge iGEM team output,Bba_K274110,EMP821,EMP822,3488,28.2
29,1,iPCR,EM444 blue light sensor plasmid,EM444 plasmid,EMP823,EMP824,4051,29.1
30,1,iPCR,EM445 blue light sensor plasmid,EM445 plasmid,EMP823,EMP824,4052,30.1
31,1,iPCR,EM446 blue light sensor plasmid,EM446 plasmid,EMP823,EMP824,4052,31.1
32,1,iPCR,EM447 blue light sensor plasmid,EM446 plasmid,EMP823,EMP824,4052,32.1
33,1,iPCR,EM444 blue light sensor with LVA tag on YF1,EM444 plasmid,EMP825,EMP826,4084,33.1
34,1,iPCR,EM444 blue light sensor with LVA tag on FixJ,EM444 plasmid,EMP827,EMP828,4084,34.1
